outer_fold,selector,position,feature,feature_count
4,CS_SHAP_Union,14,tcp.seq,18
4,CS_SHAP_Union,15,tcp.srcport,18
4,CS_SHAP_Union,16,udp.port,18
4,CS_SHAP_Union,17,udp.stream,18
4,CS_SHAP_Union,18,udp.time_delta,18
4,Mutual_Information_19,1,tcp.dstport,19
4,Mutual_Information_19,2,tcp.srcport,19
4,Mutual_Information_19,3,tcp.ack,19
4,Mutual_Information_19,4,tcp.seq,19
4,Mutual_Information_19,5,tcp.ack_raw,19
4,Mutual_Information_19,6,tcp.flags,19
4,Mutual_Information_19,7,http.request.version,19
4,Mutual_Information_19,8,http.request.method,19
4,Mutual_Information_19,9,tcp.len,19
4,Mutual_Information_19,10,http.referer,19
4,Mutual_Information_19,11,tcp.checksum,19
4,Mutual_Information_19,12,mqtt.protoname,19
4,Mutual_Information_19,13,mqtt.conack.flags,19
4,Mutual_Information_19,14,mqtt.topic,19
4,Mutual_Information_19,15,icmp.checksum,19
4,Mutual_Information_19,16,udp.stream,19
4,Mutual_Information_19,17,tcp.flags.ack,19
4,Mutual_Information_19,18,icmp.seq_le,19
4,Mutual_Information_19,19,http.content_length,19
4,Random_Forest_Importance_19,1,tcp.srcport,19
4,Random_Forest_Importance_19,2,tcp.ack,19
4,Random_Forest_Importance_19,3,tcp.dstport,19
4,Random_Forest_Importance_19,4,http.referer,19
4,Random_Forest_Importance_19,5,tcp.len,19
4,Random_Forest_Importance_19,6,tcp.seq,19
4,Random_Forest_Importance_19,7,icmp.seq_le,19
4,Random_Forest_Importance_19,8,udp.stream,19
4,Random_Forest_Importance_19,9,http.request.version,19
4,Random_Forest_Importance_19,10,http.request.method,19
4,Random_Forest_Importance_19,11,tcp.ack_raw,19
4,Random_Forest_Importance_19,12,tcp.flags,19
4,Random_Forest_Importance_19,13,icmp.checksum,19
4,Random_Forest_Importance_19,14,tcp.checksum,19
4,Random_Forest_Importance_19,15,mqtt.topic,19
4,Random_Forest_Importance_19,16,mqtt.protoname,19
4,Random_Forest_Importance_19,17,mqtt.conack.flags,19
4,Random_Forest_Importance_19,18,udp.port,19
4,Random_Forest_Importance_19,19,tcp.connection.rst,19
5,Full_42,1,arp.opcode,42
5,Full_42,2,arp.hw.size,42
5,Full_42,3,icmp.checksum,42
5,Full_42,4,icmp.seq_le,42
5,Full_42,5,icmp.transmit_timestamp,42
5,Full_42,6,http.content_length,42
5,Full_42,7,http.request.method,42
5,Full_42,8,http.referer,42
5,Full_42,9,http.request.version,42
5,Full_42,10,http.response,42
5,Full_42,11,tcp.ack,42
5,Full_42,12,tcp.ack_raw,42
5,Full_42,13,tcp.checksum,42
5,Full_42,14,tcp.connection.fin,42
5,Full_42,15,tcp.connection.rst,42
5,Full_42,16,tcp.connection.syn,42
5,Full_42,17,tcp.connection.synack,42
5,Full_42,18,tcp.dstport,42
5,Full_42,19,tcp.flags,42
5,Full_42,20,tcp.flags.ack,42
5,Full_42,21,tcp.len,42
5,Full_42,22,tcp.seq,42
5,Full_42,23,tcp.srcport,42
5,Full_42,24,udp.port,42
5,Full_42,25,udp.stream,42
5,Full_42,26,udp.time_delta,42
5,Full_42,27,dns.qry.name,42
5,Full_42,28,dns.qry.name.len,42
5,Full_42,29,dns.qry.qu,42
5,Full_42,30,dns.retransmission,42
5,Full_42,31,dns.retransmit_request,42
5,Full_42,32,mqtt.conack.flags,42
5,Full_42,33,mqtt.conflag.cleansess,42
5,Full_42,34,mqtt.conflags,42
5,Full_42,35,mqtt.hdrflags,42
5,Full_42,36,mqtt.len,42
5,Full_42,37,mqtt.msgtype,42
5,Full_42,38,mqtt.proto_len,42
5,Full_42,39,mqtt.protoname,42
5,Full_42,40,mqtt.topic,42
5,Full_42,41,mqtt.topic_len,42
5,Full_42,42,mqtt.ver,42
5,Natural_Global_20,1,http.referer,20
5,Natural_Global_20,2,tcp.srcport,20
5,Natural_Global_20,3,http.request.method,20
5,Natural_Global_20,4,tcp.dstport,20
5,Natural_Global_20,5,http.request.version,20
5,Natural_Global_20,6,tcp.ack,20
5,Natural_Global_20,7,mqtt.conack.flags,20
5,Natural_Global_20,8,icmp.checksum,20
5,Natural_Global_20,9,udp.stream,20
5,Natural_Global_20,10,icmp.seq_le,20
5,Natural_Global_20,11,tcp.ack_raw,20
5,Natural_Global_20,12,tcp.len,20
5,Natural_Global_20,13,tcp.seq,20
5,Natural_Global_20,14,tcp.flags,20
5,Natural_Global_20,15,tcp.checksum,20
5,Natural_Global_20,16,mqtt.protoname,20
5,Natural_Global_20,17,tcp.connection.syn,20
5,Natural_Global_20,18,tcp.connection.rst,20
5,Natural_Global_20,19,arp.opcode,20
5,Natural_Global_20,20,dns.qry.name,20
5,Class_Balanced_15,1,tcp.dstport,15
5,Class_Balanced_15,2,tcp.ack,15
5,Class_Balanced_15,3,tcp.srcport,15
5,Class_Balanced_15,4,http.referer,15
5,Class_Balanced_15,5,tcp.len,15
5,Class_Balanced_15,6,udp.stream,15
5,Class_Balanced_15,7,http.request.method,15
5,Class_Balanced_15,8,mqtt.conack.flags,15
5,Class_Balanced_15,9,icmp.seq_le,15
5,Class_Balanced_15,10,icmp.checksum,15
5,Class_Balanced_15,11,http.request.version,15
5,Class_Balanced_15,12,tcp.seq,15
5,Class_Balanced_15,13,tcp.ack_raw,15
5,Class_Balanced_15,14,tcp.flags,15
5,Class_Balanced_15,15,tcp.connection.syn,15
5,Stable_Balanced_Core,1,http.referer,14
5,Stable_Balanced_Core,2,http.request.method,14
5,Stable_Balanced_Core,3,http.request.version,14
5,Stable_Balanced_Core,4,icmp.checksum,14
5,Stable_Balanced_Core,5,icmp.seq_le,14
5,Stable_Balanced_Core,6,mqtt.conack.flags,14
5,Stable_Balanced_Core,7,tcp.ack,14
5,Stable_Balanced_Core,8,tcp.ack_raw,14
5,Stable_Balanced_Core,9,tcp.dstport,14
5,Stable_Balanced_Core,10,tcp.flags,14
5,Stable_Balanced_Core,11,tcp.len,14
5,Stable_Balanced_Core,12,tcp.seq,14
5,Stable_Balanced_Core,13,tcp.srcport,14
5,Stable_Balanced_Core,14,udp.stream,14
5,Stable_Minority_Only,1,arp.opcode,15
5,Stable_Minority_Only,2,http.request.method,15
5,Stable_Minority_Only,3,http.request.version,15
5,Stable_Minority_Only,4,icmp.checksum,15
5,Stable_Minority_Only,5,icmp.seq_le,15
5,Stable_Minority_Only,6,icmp.transmit_timestamp,15
5,Stable_Minority_Only,7,tcp.ack,15
5,Stable_Minority_Only,8,tcp.ack_raw,15
5,Stable_Minority_Only,9,tcp.connection.syn,15
5,Stable_Minority_Only,10,tcp.dstport,15
5,Stable_Minority_Only,11,tcp.flags,15
5,Stable_Minority_Only,12,tcp.len,15
5,Stable_Minority_Only,13,tcp.srcport,15
5,Stable_Minority_Only,14,udp.port,15
5,Stable_Minority_Only,15,udp.time_delta,15
5,CS_SHAP_Union,1,arp.opcode,19
5,CS_SHAP_Union,2,http.referer,19
5,CS_SHAP_Union,3,http.request.method,19
5,CS_SHAP_Union,4,http.request.version,19
5,CS_SHAP_Union,5,icmp.checksum,19
5,CS_SHAP_Union,6,icmp.seq_le,19
5,CS_SHAP_Union,7,icmp.transmit_timestamp,19
5,CS_SHAP_Union,8,mqtt.conack.flags,19
5,CS_SHAP_Union,9,tcp.ack,19
5,CS_SHAP_Union,10,tcp.ack_raw,19
5,CS_SHAP_Union,11,tcp.connection.syn,19
5,CS_SHAP_Union,12,tcp.dstport,19
5,CS_SHAP_Union,13,tcp.flags,19
5,CS_SHAP_Union,14,tcp.len,19
5,CS_SHAP_Union,15,tcp.seq,19
5,CS_SHAP_Union,16,tcp.srcport,19
5,CS_SHAP_Union,17,udp.port,19
5,CS_SHAP_Union,18,udp.stream,19
5,CS_SHAP_Union,19,udp.time_delta,19
5,Mutual_Information_19,1,tcp.dstport,19
5,Mutual_Information_19,2,tcp.srcport,19
5,Mutual_Information_19,3,tcp.ack,19
5,Mutual_Information_19,4,tcp.seq,19
5,Mutual_Information_19,5,tcp.ack_raw,19
5,Mutual_Information_19,6,tcp.flags,19
5,Mutual_Information_19,7,http.request.version,19
5,Mutual_Information_19,8,http.request.method,19
5,Mutual_Information_19,9,tcp.len,19
5,Mutual_Information_19,10,http.referer,19
5,Mutual_Information_19,11,tcp.checksum,19
5,Mutual_Information_19,12,mqtt.conack.flags,19
5,Mutual_Information_19,13,mqtt.protoname,19
5,Mutual_Information_19,14,mqtt.topic,19
5,Mutual_Information_19,15,udp.stream,19
5,Mutual_Information_19,16,icmp.checksum,19
5,Mutual_Information_19,17,tcp.flags.ack,19
5,Mutual_Information_19,18,icmp.seq_le,19
5,Mutual_Information_19,19,http.content_length,19
5,Random_Forest_Importance_19,1,tcp.srcport,19
5,Random_Forest_Importance_19,2,tcp.ack,19
5,Random_Forest_Importance_19,3,tcp.dstport,19
5,Random_Forest_Importance_19,4,tcp.len,19
5,Random_Forest_Importance_19,5,http.referer,19
5,Random_Forest_Importance_19,6,tcp.seq,19
5,Random_Forest_Importance_19,7,icmp.seq_le,19
5,Random_Forest_Importance_19,8,http.request.version,19
5,Random_Forest_Importance_19,9,udp.stream,19
5,Random_Forest_Importance_19,10,http.request.method,19
5,Random_Forest_Importance_19,11,tcp.ack_raw,19
5,Random_Forest_Importance_19,12,tcp.flags,19
5,Random_Forest_Importance_19,13,icmp.checksum,19
5,Random_Forest_Importance_19,14,mqtt.topic,19
5,Random_Forest_Importance_19,15,tcp.checksum,19
5,Random_Forest_Importance_19,16,mqtt.conack.flags,19
5,Random_Forest_Importance_19,17,mqtt.protoname,19
5,Random_Forest_Importance_19,18,udp.port,19
5,Random_Forest_Importance_19,19,http.content_length,19
